Eva	34.326504	-86.765318
Evergreen	31.433216	-86.976081
Excel	31.426386	-87.343663
Fairfield	33.474802	-86.919407
Fairford	31.178002	-88.072784
Fairhope	30.52092	-87.879122
Fairview	34.250195	-86.677724
Falkville	34.377019	-86.909547
Faunsdale	32.457614	-87.593789
Fayette	33.694215	-87.831169
Fayetteville	33.168097	-86.442774
Fitzpatrick	32.210377	-85.873693
Five Points	33.017311	-85.351592
Flomaton	31.014816	-87.256016
Florala	31.022391	-86.318152
Florence	34.830323	-87.666139
Foley	30.397009	-87.664211
Forestdale	33.573701	-86.900047
Forkland	32.647435	-87.867436
Fort Deposit	31.986261	-86.566359
Fort Payne	34.457329	-85.689447
Fort Rucker	31.342576	-85.716072
Franklin	32.452693	-85.78541
Fredonia	32.983577	-85.292306
Frisco City	31.439485	-87.404182
Fruitdale	31.34979	-88.410937
Fruithurst	33.729539	-85.431249
Fulton	31.790989	-87.744212
Fultondale	33.617363	-86.801436
Fyffe	34.448957	-85.905167
Gadsden	34.006597	-86.016078
Gainesville	32.814934	-88.160791
Gallant	34.001318	-86.230171
Gantt	31.41074	-86.483524
Garden City	34.014688	-86.749054
Gardendale	33.676587	-86.809844
Gaylesville	34.267444	-85.561248
Geiger	32.868715	-88.318154
Geneva	31.044886	-85.876818
Georgiana	31.639134	-86.746762
Geraldine	34.359087	-86.002579
Gilbertown	31.866247	-88.307545
Glen Allen	33.892108	-87.732682
Glencoe	33.948339	-85.933606
Glenwood	31.671266	-86.173687
Goldville	33.084867	-85.777982
Good Hope	34.110689	-86.867104
Goodwater	33.060713	-86.052486
Gordo	33.322286	-87.903681
Gordon	31.143606	-85.092504
Gordonville	32.159179	-86.704235
Goshen	31.720015	-86.123245
Graham	33.455191	-85.323085
Grand Bay	30.472082	-88.344401
Grant	34.518173	-86.26043
Grayson Valley	33.646568	-86.641942
Graysville	33.633756	-86.941398
Greensboro	32.700968	-87.5937
Greenville	31.843072	-86.636951
Grimes	31.299869	-85.45029
Grove Hill	31.69867	-87.772868
Guin	33.98322	-87.902363
Gulfcrest	30.991106	-88.242231
Gulf Shores	30.275837	-87.701258
Guntersville	34.367947	-86.252323
Gurley	34.701364	-86.380271
Gu-Win	33.94433	-87.870376
Hackleburg	34.269355	-87.830402
Hackneyville	33.054654	-85.934423
Haleburg	31.409976	-85.138068
Haleyville	34.233832	-87.617574
Hamilton	34.138713	-87.970833
Hammondville	34.566232	-85.640348
Hanceville	34.06401	-86.764436
Hanover	33.002922	-86.200931
Harpersville	33.317725	-86.428431
Hartford	31.105348	-85.691225
Hartselle	34.440434	-86.940364
Harvest	34.85507	-86.758643
Hatton	34.560671	-87.413835
Hayden	33.894514	-86.744224
Hayneville	32.182595	-86.578588
Hazel Green	34.923656	-86.567392
Headland	31.354974	-85.357031
Heath	31.344839	-86.46905
Heflin	33.6474	-85.569339
Helena	33.283424	-86.879177
Henagar	34.630641	-85.730918
Highland Lake	33.894586	-86.422553
Highland Lakes	33.397611	-86.64792
Hillsboro	34.642586	-87.178489
Hissop	32.890568	-86.129601
Hobson	31.488725	-88.150928
Hobson City	33.618801	-85.846146
Hodges	34.334246	-87.92316
Hokes Bluff	33.989682	-85.862873
Hollins	33.121757	-86.126967
Hollis Crossroads	33.531333	-85.652862
Holly Pond	34.167686	-86.612067
Hollywood	34.717279	-85.965579
Holt	33.229745	-87.482894
Holtville	32.630299	-86.328004
Homewood	33.45855	-86.80965
Hoover	33.37903	-86.808905
Horn Hill	31.238137	-86.325163
Hueytown	33.408604	-87.016565
Huguley	32.843062	-85.239635
Huntsville	34.69772	-86.67667
Hurtsboro	32.24009	-85.41467
Hytop	34.896635	-86.089176
Ider	34.702599	-85.668958
Indian Springs Village	33.361209	-86.746856
Irondale	33.539914	-86.659082
Ivalee	34.037204	-86.147182
Jackson	31.532321	-87.891183
Jacksons' Gap	32.884019	-85.815046
Jacksonville	33.810066	-85.755217
Jasper	33.85111	-87.268348
Jemison	32.970705	-86.73307
Joppa	34.29955	-86.549946
Kansas	33.902808	-87.556598
Kellyton	32.979188	-86.034608
Kennedy	33.580722	-87.9855
Killen	34.860954	-87.529346
Kimberly	33.776989	-86.800211
Kinsey	31.296269	-85.334994
Kinston	31.219604	-86.170075
Ladonia	32.459709	-85.090423
La Fayette	32.899427	-85.400795
Lakeview	34.391675	-85.975573
Lake View	33.288266	-87.132653
Lanett	32.858649	-85.207788
Langston	34.545063	-86.09335
Leeds	33.546847	-86.571448
Leesburg	34.178627	-85.777897
Leighton	34.69368	-87.524282
Leroy	31.494971	-87.972773
Lester	34.982751	-87.155534
Level Plains	31.307125	-85.768722
Lexington	34.959351	-87.37283
Libertyville	31.24005	-86.456955
Lillian	30.418904	-87.420751
Lincoln	33.580169	-86.127876
Linden	32.30136	-87.792583
Lineville	33.312832	-85.752278
Lipscomb	33.426005	-86.926103
Lisman	32.171729	-88.284092
Littleville	34.595121	-87.670729
Livingston	32.595549	-88.186929
Loachapoka	32.607946	-85.598479
Lockhart	31.013011	-86.350273
Locust Fork	33.876794	-86.647093
Lookout Mountain	34.115916	-85.965464
Louisville	31.781047	-85.558336
Lowndesboro	32.276422	-86.610848
Loxley	30.684588	-87.739213
Luverne	31.718941	-86.269082
Lynn	34.057591	-87.548643
McCalla	33.303112	-87.02666
McDonald Chapel	33.518576	-86.938462
Macedonia	33.403139	-88.239221
McIntosh	31.264957	-88.028369
McKenzie	31.54647	-86.725954
McMullen	33.1481	-88.175749
Madison	34.710533	-86.76228
Madrid	31.035635	-85.399205
Magnolia Springs	30.40341	-87.775895
Malcolm	31.198806	-88.000624
Malvern	31.143698	-85.522973
Maplesville	32.784391	-86.879694
Marbury	32.672984	-86.463728
Margaret	33.672861	-86.463942
Marion	32.631968	-87.317333
Maytown	33.549954	-87.000043
Meadowbrook	33.395235	-86.704373
Megargel	31.378141	-87.430649
Memphis	33.137044	-88.305942
Mentone	34.563209	-85.589704
Meridianville	34.874913	-86.580559
Midfield	33.455272	-86.922414
Midland City	31.315675	-85.493674
Midway	32.076373	-85.524417
Mignon	33.18658	-86.256886
Millbrook	32.501474	-86.373914
Millerville	33.191458	-85.929828
Millport	33.555935	-88.082382
Millry	31.621199	-88.327956
Minor	33.539011	-86.940073
Mobile	30.668426	-88.100226
Monroeville	31.516223	-87.327714
Montevallo	33.126053	-86.847702
Montgomery	32.348503	-86.267307
Moody	33.603429	-86.493786
Moores Mill	34.852143	-86.52038
Mooresville	34.625883	-86.880025
Morris	33.746223	-86.800755
Morrison Crossroads	33.417996	-85.488284
Mosses	32.188758	-86.679435
Moulton	34.488302	-87.282707
Moundville	32.996542	-87.627545
Mountain Brook	33.491488	-86.73447
Mount Olive	33.078454	-86.13304
Mount Olive	33.669286	-86.87549
Mount Vernon	31.087727	-88.013166
Movico	31.062763	-88.026619
Mulga	33.556313	-86.972304
Munford	33.527644	-85.953809
Muscle Shoals	34.742657	-87.633767
Myrtlewood	32.252088	-87.949261
Nanafalia	32.111393	-87.995757
Nances Creek	33.855501	-85.669104
Napier Field	31.314925	-85.454929
Natural Bridge	34.090354	-87.601409
Nauvoo	33.984386	-87.48544
Nectar	33.979779	-86.620614
Needham	31.987	-88.336563
Newbern	32.591672	-87.535614
New Brockton	31.37671	-85.919028
New Hope	34.537972	-86.412372
New Market	34.892335	-86.425818
New Site	33.026041	-85.784536
Newton	31.341229	-85.588307
New Union	34.133682	-86.228002
Newville	31.420604	-85.33669
Nixburg	32.855488	-86.100838
North Courtland	34.680023	-87.305717
North Johns	33.367769	-87.100725
Northport	33.257565	-87.596396
Notasulga	32.555409	-85.668577
Oak Grove	33.190359	-86.303727
Oak Hill	31.92162	-87.085234
Oakman	33.714322	-87.388699
Odenville	33.700875	-86.423371
Ohatchee	33.789759	-86.029062
Oneonta	33.947038	-86.489793
Onycha	31.225693	-86.276024
Opelika	32.660739	-85.37889
Opp	31.284375	-86.257442
Orange Beach	30.293987	-87.595371
Orrville	32.306769	-87.245447
Our Town	32.842211	-85.967035
Owens Cross Roads	34.585458	-86.455027
Oxford	33.59641	-85.868219
Ozark	31.451615	-85.645035
Paint Rock	34.660934	-86.333952
Panola	32.946819	-88.262266
Parrish	33.732321	-87.280127
Pea Ridge	33.133805	-86.937949
Pelham	33.32183	-86.742197
Pell City	33.560312	-86.263634
Pennington	32.200612	-88.037572
Penton	33.009832	-85.474824
Perdido	31.005634	-87.630272
Perdido Beach	30.353879	-87.5048
Peterman	31.583669	-87.263042
Petrey	31.85216	-86.204007
Phenix City	32.453709	-85.031019
Phil Campbell	34.351547	-87.707359
Pickensville	33.235782	-88.289443
Piedmont	33.927557	-85.615267
Pike Road	32.273609	-86.118927
Pinckard	31.318989	-85.537836
Pine Apple	31.872155	-86.989059
Pine Hill	31.985884	-87.587516
Pine Level	32.579539	-86.454318
Pine Ridge	34.447915	-85.783831
Pinson	33.709262	-86.663613
Pisgah	34.684366	-85.84601
Pleasant Grove	33.493967	-86.97815
Pleasant Groves	34.737619	-86.197637
Point Clear	30.486112	-87.911132
Pollard	31.023877	-87.172978
Powell	34.532588	-85.897553
Prattville	32.449041	-86.449401
Priceville	34.529583	-86.882177
Prichard	30.773337	-88.131416
Providence	32.342386	-87.776115
Putnam	32.018084	-88.033057
Ragland	33.748325	-86.135927
Rainbow City	33.928777	-86.084228
Rainsville	34.494364	-85.836505
Ranburne	33.525853	-85.339013
Ray	32.868141	-86.045252
Red Bay	34.436097	-88.136515
Redland	32.481426	-86.143759
Red Level	31.406711	-86.606217
Redstone Arsenal	34.687763	-86.661172
Reece City	34.077241	-86.034498
Reeltown	32.574211	-85.819562
Reform	33.37826	-88.017273
Rehobeth	31.124507	-85.439607
Remlap	33.806972	-86.593941
Repton	31.409716	-87.238931
Ridgeville	34.056929	-86.102874
River Falls	31.352397	-86.544609
Riverside	33.616394	-86.204357
Riverview	31.06126	-87.077531
Roanoke	33.145305	-85.369526
Robertsdale	30.557139	-87.704723
Rock Creek	33.477227	-87.081249
Rockford	32.896866	-86.208346
Rock Mills	33.15994	-85.28107
Rockville	31.405776	-87.844212
Rogersville	34.827714	-87.284092
Rosa	33.992756	-86.500325
Russellville	34.505719	-87.728123
Rutledge	31.724072	-86.302008
St. Florian	34.874098	-87.623736
St. Stephens	31.571111	-88.052834
Saks	33.711401	-85.853698
Samson	31.112417	-86.046735
Sand Rock	34.231228	-85.770416
Sanford	31.298819	-86.398848
Saraland	30.854566	-88.109842
Sardis City	34.172413	-86.119104
Satsuma	30.857874	-88.063383
Scottsboro	34.64462	-86.048155
Section	34.581644	-85.984942
Selma	32.416983	-87.035702
Selmont-West Selmont	32.378253	-87.006888
Semmes	30.796223	-88.24759
Sheffield	34.757019	-87.697085
Shelby	33.106882	-86.585403
Shiloh	34.462666	-85.877617
Shoal Creek	33.430763	-86.610925
Shorter	32.411501	-85.972808
Silas	31.767802	-88.325923
Silverhill	30.545359	-87.750557
Sims Chapel	31.249255	-88.142971
Sipsey	33.822119	-87.082918
Skyline	34.798524	-86.12243
Slocomb	31.112126	-85.59866
Smiths Station	32.522852	-85.099425
Smoke Rise	33.879942	-86.824683
Snead	34.116228	-86.390916
Somerville	34.467053	-86.791203
Southside	33.890841	-86.01802
South Vinemont	34.235567	-86.863965
Spanish Fort	30.722968	-87.865917
Spring Garden	33.972965	-85.555756
Springville	33.74052	-86.484086
Spruce Pine	34.39287	-87.729597
Standing Rock	33.08569	-85.239849
Stapleton	30.735558	-87.797727
Steele	33.941378	-86.192107
Sterrett	33.442198	-86.461045
Stevenson	34.876797	-85.81435
Stewartville	33.075532	-86.260693
Stockton	31.001245	-87.873929
Sulligent	33.891189	-88.126633
Sumiton	33.749269	-87.046903
Summerdale	30.476741	-87.687561
Susan Moore	34.091999	-86.434156
Sweet Water	32.104614	-87.861889
